	antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction
595	frozenset({815})	frozenset({599})	0.012032085561497326	0.10736965240641712	0.009943181818181818	0.826388888888889	7.696670990056204	0.00865130097371958	5.141550802139039
343	frozenset({431})	frozenset({905})	0.09617312834224599	0.01612633689839572	0.012867647058823529	0.13379669852302345	8.296781802712667	0.01131672679060382	1.135846124603758
359	frozenset({905})	frozenset({32})	0.01612633689839572	0.05731951871657754	0.012867647058823529	0.7979274611398964	13.920693666067464	0.0119432931891461	4.665059817633348
1190	frozenset({214})	frozenset({735})	0.02331216577540107	0.01579211229946524	0.008522727272727272	0.3655913978494624	23.150253171758546	0.008154578932858389	1.5513785348499955
1578	frozenset({905, 228})	frozenset({680})	0.012867647058823529	0.008021390374331552	0.008021390374331552	0.6233766233766235	77.71428571428572	0.007918173954073609	2.6338742393509134
441	frozenset({1003})	frozenset({601})	0.02540106951871658	0.014455213903743316	0.012115641711229946	0.47697368421052627	32.99665348341953	0.011748463817953044	1.884312043856994
490	frozenset({241, 846})	frozenset({8})	0.011196524064171123	0.011196524064171123	0.011196524064171123	1.0	89.3134328358209	0.01107116191305156	inf
1410	frozenset({45})	frozenset({207})	0.011781417112299465	0.011614304812834224	0.008188502673796791	0.6950354609929078	59.84305321700087	0.008051669704327405	3.2409856516602416
941	frozenset({95})	frozenset({332})	0.009024064171122994	0.009024064171122994	0.009024064171122994	1.0	110.81481481481482	0.008942630436958449	inf
1488	frozenset({595, 287})	frozenset({912})	0.00810494652406417	0.01763034759358289	0.00810494652406417	1.0	56.72037914691943	0.007962053499617518	inf
1033	frozenset({185})	frozenset({768})	0.022142379679144383	0.008856951871657755	0.008856951871657755	0.4000000000000001	45.1622641509434	0.0086608378805156	1.651905080213904
1109	frozenset({672})	frozenset({944})	0.008689839572192513	0.19493649732620322	0.008689839572192513	1.0	5.129875696528075	0.006995872683662673	inf
1548	frozenset({32, 228})	frozenset({680})	0.05731951871657754	0.008021390374331552	0.008021390374331552	0.13994169096209913	17.44606413994169	0.007561608138637079	1.1533852986495061
162	frozenset({930})	frozenset({228})	0.016042780748663103	0.12842580213903743	0.016042780748663103	1.0	7.7865972674040345	0.013982473762475337	inf
1496	frozenset({912})	frozenset({16, 287})	0.01763034759358289	0.00810494652406417	0.00810494652406417	0.45971563981042646	56.72037914691943	0.007962053499617518	1.8358759323107232
1068	frozenset({226})	frozenset({18})	0.008689839572192513	0.1459725935828877	0.008689839572192513	1.0	6.850601030337722	0.007421361152020361	inf
1195	frozenset({214})	frozenset({41})	0.02331216577540107	0.008522727272727272	0.008522727272727272	0.3655913978494624	42.89605734767026	0.008324044041686922	1.562837057010786
549	frozenset({909})	frozenset({801, 228})	0.01044451871657754	0.06074532085561497	0.01044451871657754	1.0	16.462173314993123	0.009810063075956561	inf
166	frozenset({930})	frozenset({801, 34})	0.016042780748663103	0.029829545454545456	0.016042780748663103	1.0	33.523809523809526	0.01556423189110355	inf
92	frozenset({18})	frozenset({1002})	0.1459725935828877	0.021557486631016042	0.017129010695187165	0.11734401831711505	5.443307020229585	0.013982208460529326	1.1085207982202432
279	frozenset({362})	frozenset({25})	0.01328542780748663	0.08121657754010696	0.01328542780748663	1.0	12.31275720164609	0.0122064308298064	inf
582	frozenset({25})	frozenset({221})	0.08121657754010696	0.01804812834224599	0.01036096256684492	0.12757201646090535	7.068434689833867	0.008895155351883096	1.1255391736454443
1247	frozenset({859, 1046})	frozenset({285})	0.014371657754010695	0.013953877005347594	0.008439171122994653	0.5872093023255814	42.0821612588776	0.008238630778332237	2.3887314528884542
218	frozenset({1035})	frozenset({539})	0.01821524064171123	0.02331216577540107	0.014789438502673797	0.8119266055045872	34.828450231824014	0.014364801793195402	5.193120679535673
1142	frozenset({214, 735})	frozenset({965})	0.008522727272727272	0.008522727272727272	0.008522727272727272	1.0	117.33333333333334	0.008450090392561983	inf
646	frozenset({31, 599})	frozenset({969})	0.024983288770053475	0.009441844919786096	0.009441844919786096	0.37792642140468224	40.02675585284281	0.009205956581633017	1.5923488621988384
299	frozenset({591})	frozenset({944})	0.01328542780748663	0.19493649732620322	0.01328542780748663	1.0	5.129875696528075	0.010695613045215047	inf
931	frozenset({995, 95})	frozenset({332})	0.009024064171122994	0.009024064171122994	0.009024064171122994	1.0	110.81481481481482	0.008942630436958449	inf
45	frozenset({595})	frozenset({16, 801})	0.022727272727272728	0.021808155080213904	0.021808155080213904	0.9595588235294118	44.0	0.021312515192027225	24.188016528925637
1317	frozenset({801, 252})	frozenset({16})	0.008355614973262033	0.03877005347593583	0.008355614973262033	1.0	25.79310344827586	0.008031667333924334	inf
2	frozenset({32})	frozenset({228})	0.05731951871657754	0.12842580213903743	0.05731951871657754	1.0	7.7865972674040345	0.0499582135471775	inf
226	frozenset({18, 859})	frozenset({1046})	0.019134358288770054	0.025651737967914437	0.014371657754010695	0.7510917030567685	29.280343655320543	0.013880828209002974	3.9144868772867993
474	frozenset({8})	frozenset({995})	0.011196524064171123	0.04378342245989305	0.011196524064171123	1.0	22.83969465648855	0.01070630192098716	inf
643	frozenset({677})	frozenset({32, 912})	0.01871657754010695	0.009525401069518716	0.009525401069518716	0.5089285714285715	53.42857142857144	0.009347118161800451	2.0169664560038894
524	frozenset({995, 846})	frozenset({611})	0.01311831550802139	0.011196524064171123	0.011196524064171123	0.8535031847133757	76.22929936305732	0.011049644528904171	6.749658509648915
